chr17	+	78439926	78439926	1	78439926	T
chr17	+	78439926	78439926	1	78439926	C
chr17	+	78439926	78439926	1	78439926	C
chr17	-	78439927	78439927	1	78439927	C
chr17	-	78439927	78439927	1	78439927	C
chr17	+	78439926	78439926	1	78439926	T
chr17	+	78439926	78439926	1	78439926	C
chr17	+	78439926	78439926	1	78439926	C
chr17	+	78439926	78439926	1	78439926	C
chr17	+	78439926	78439926	1	78439926	T
chr17	+	78439926	78439926	1	78439926	C
chr17	+	78439926	78439926	1	78439926	C
chr17	+	78439926	78439926	1	78439926	C
chr17	-	78439927	78439927	1	78439927	T
chr17	+	78440038	78440038	1	78440038	C
chr17	+	78440038	78440038	1	78440038	T
chr17	+	78440038	78440038	1	78440038	C
chr17	-	78440039	78440039	1	78440039	C
chr17	+	78440038	78440038	1	78440038	C
chr17	-	78440039	78440039	1	78440039	C
chr17	+	78440038	78440038	1	78440038	C
chr17	+	78440038	78440038	1	78440038	C
chr17	-	78440039	78440039	1	78440039	C
chr17	+	78440038	78440038	1	78440038	C
chr17	+	78440038	78440038	1	78440038	C
chr17	+	78440038	78440038	1	78440038	C
chr17	+	78440038	78440038	1	78440038	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	+	78440038	78440038	1	78440038	C
chr17	+	78440038	78440038	1	78440038	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	T
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440039	1	78440039	C
chr17	+	78440038	78440038	1	78440038	C
chr17	-	78440039	78440039	1	78440039	T
chr17	+	78440038	78440114	2	78440038,78440114	C,T
chr17	+	78440038	78440114	2	78440038,78440114	C,T
chr17	-	78440039	78440115	2	78440039,78440115	C,T
chr17	-	78440039	78440115	2	78440039,78440115	C,T
chr17	+	78440038	78440114	2	78440038,78440114	C,T
chr17	-	78440039	78440039	1	78440039	C
chr17	-	78440039	78440115	2	78440039,78440115	C,T
chr17	-	78440039	78440115	2	78440039,78440115	C,T
chr17	+	78440038	78440114	2	78440038,78440114	C,T
